"3 Months","3 Meses"
"6 Months","6 Meses"
"9 Months","9 Meses"
"12 Months","12 Meses"
"PagoFacil configuration","PagoFacil configuración"
"User key","Llave de usuario"
"Branch office key","llave de sucursal"
"User phase key","Frase de usuario"
"Sandbox endpoint","Endpoint de pruebas"
"Production endpoint","Endpoint productivo"
"PagoFacil payment card","PagoFacil pago con tarjeta"
"Module Enable","Modulo activo"
"Card payment URI","URI de pago con tarjeta."
"3D Secure URI","URI pago con 3D Secure"
"Sandbox enviroment","Ambiente de pruebas"
"Enabled Monthy installment","Meses sin intereses havilitado"
"Monthly Installments Available","Monthly Installments Available"
"Credit Card Types","Credit Card Types"
"PagoFacil payment cash","PagoFacil payment cash"
"Cash payment URI","Cash payment URI"
"Invalid monthly installment", "Meses sin intereses invalidos"
"Invalid amount auth", "Cantidad autorizada invalida"
"The field municipality is required.", "El campo Municipio es requerido."
"The field suburb is required.", "El campo colonia es requerido."
"Municipality", "Municipio"
"Suburb", "Colonia"
"Monthly installments", "Meses sin intereses"
"Monthly payment", "Pago mensual"
"The string are not empty", "La cadena no debe estar vacia."
"status code out of the range", "El código de estado esta fuera del rango"
"No have a default billing address, please complete the profile address configurations", "No tiene una dirección de facturación predeterminada, complete las configuraciones de dirección de perfil"
"The transaction are failed, please connecting to local admin.", "La transacción falló, por favor conéctese con el administrador local."